id;name;type;status;open_year;open_year_original;budget_mdkk;agency;parent_id;source_url;source_doc;kommuner_override;geometry_source;map;notes
nordhavnstunnel;Nordhavnstunnel;road;construction;2028;;4495.2;Vejdirektoratet (for Københavns Kommune);;https://www.vejdirektoratet.dk/projekt/nordhavnstunnel;Anlægsstatus 1H 2026 p. 34, 37;;manual:wkt:LINESTRING(12.5780 55.7090, 12.5900 55.7105, 12.6050 55.7120);true;"schematic corridor — not an official alignment. Svanemøllen to Nordhavn (Kattegatvej). Financed by Københavns Kommune, By & Havn and the future Lynetteholm I/S; prepared for an extension as Østlig Ringvej."
ring3-letbane;Hovedstadens Letbane, Ring 3 (Lyngby – Ishøj);letbane;opened;2026;;;Hovedstadens Letbane I/S;;https://www.dinletbane.dk/;;;fingerplan:fp19vh_letbane_line:all;true;Opened in stages 2025–2026. Not in Anlægsstatus 1H 2026 (own company, not a state construction project).
koebenhavn-ringsted;Den nye bane København–Ringsted;rail;opened;2019;;;Banedanmark;;https://www.bane.dk/;;;fingerplan:fp19vo_kbh_ringsted_centerl:all;true;"Opened 2019; geometry is the Fingerplan 2019 centre-line reservation."
ny-bane-vestfyn;Ny bane over Vestfyn;rail;construction;2029;;6305.4;Banedanmark;;https://www.bane.dk/;Anlægsstatus 1H 2026 p. 9;;"osm:way[""railway""=""construction""](55.45,9.70,55.60,10.30)";true;"Anlægsstatus notes the total expenditure is not expected to hold (""Overholdelse af totaludgift: Nej"")."
ringsted-odense-opgradering;Hastighedsopgradering Ringsted–Odense (200 km/t);rail;construction;2030;2028;600.6;Banedanmark;;https://www.bane.dk/;Anlægsstatus 1H 2026 p. 9, 12;;manual:wkt:LINESTRING(11.7900 55.4400, 11.4000 55.3600, 11.1400 55.3300, 10.7900 55.3100, 10.5500 55.3600, 10.3900 55.3950);true;"schematic corridor — not an official alignment. Ringsted – Korsør – Nyborg – Odense, the existing line being upgraded to 200 km/t. Opening year in the report is ""2028/2030"" (Nyborg–Odense 2028, Ringsted–Korsør 2030)."
femern-tunnel;Femern Bælt fixed link (Rødbyhavn – Puttgarden);bridge_tunnel;construction;2032;2029;55100;Femern A/S (Sund & Bælt);;https://femern.com/da/presse/nyheder/femern-baelt-tunnelen-abnes-i-to-etaper/;Anlægsstatus 1H 2026 p. 50;;"osm:way[""name""~""Femern""][""man_made""!=""pier""](54.55,11.20,54.75,11.45)";true;"earliest opening for road per Femern A/S 17 May 2026; rail undated; Anlægsstatus 1H 2026 says a new timetable is being prepared. Budget 55,100 mio. kr. is in 2015 prices, not the report's 2026 prices."
femern-landanlaeg;Danske landanlæg til Femern (Ringsted – Rødby);rail;construction;2029;2028;9500;Banedanmark;;https://www.bane.dk/;Anlægsstatus 1H 2026 p. 51;;"osm:way[""railway""=""construction""](54.65,11.30,55.45,11.95)";true;"Budget 9.5 mia. kr. in 2015 prices. Phase 1 Ringsted–Nykøbing F. track done 2021, power/signalling 2027; phase 2 Nykøbing F.–Rødby 2028/at the latest 2029."
storstroemsbroen;Storstrømsbroen (new road and rail bridge);bridge_tunnel;construction;2026;2022;5104.9;Vejdirektoratet;;https://www.vejdirektoratet.dk/projekt/storstroemsbroen;Anlægsstatus 1H 2026 p. 34, 36;;manual:wkt:LINESTRING(11.8878 54.9985, 11.8790 54.9700, 11.8710 54.9430);true;"schematic corridor — not an official alignment. Straight Masnedø – Orehoved crossing: OpenStreetMap has no way for the new bridge (only the old rail bridges tagged ""Sydbanen""), so the status stays construction. Report gives ""2026 (vej), 2027 (bane)""; original 2022 (road) / 2018 (rail)."
frederikssundsmotorvejen;Frederikssundsmotorvejen (reservation, Fingerplan);road;study;;;;Vejdirektoratet;;https://www.vejdirektoratet.dk/;;;fingerplan:fp19vp_motorvejanlaeg_udv:kode=2;true;"Motorway reservation in Fingerplan 2019, identified by location (runs from 2.2 km off Smørum north-west to 3.0 km off Frederikssund). Searched Anlægsstatus 1H 2026 for ""Frederikssund"", ""Tværvej"" and ""3. etape"": the only hit is an S-train mention on p. 17, so the report has no row for this project — status stays study and budget and opening year stay empty."
hilleroedmotorvejen-forlaengelse;Udvidelse af Hillerødmotorvejens forlængelse til motorvej;road;construction;2027;;1614.7;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;fingerplan:fp19vp_motorvejanlaeg_udv:kode=12;true;Geometry is the Fingerplan reservation Allerød–Hillerød (identified by location). Report: total expenditure not expected to hold.
oestlig-ringvej;Østlig Ringvej (harbour tunnel, København);road;study;;;;Vejdirektoratet / Københavns Kommune;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 36 (Nordhavnstunnel prepared for it);;fingerplan:fp19vp_igangvaerende_undersoeg:navn_spec=Østlig Ringvej;true;"Under study; Fingerplan 2019 marks the corridor as an ongoing investigation."
hh-forbindelsen;HH-forbindelsen (Helsingør–Helsingborg);bridge_tunnel;study;;;;under study (DK/SE);;https://www.trm.dk/;;;fingerplan:fp19vp_igangvaerende_undersoeg:navn_spec=Helsingør og Helsingborg (HH-forbindelse);true;"Under study; no budget or opening year published."
kattegatforbindelsen;Kattegatforbindelsen (Jylland–Sjælland);bridge_tunnel;study;;;;under study;;https://www.trm.dk/;;;manual:wkt:LINESTRING(11.0900 55.6800, 10.8700 55.7500, 10.6200 55.8300, 10.4200 55.8800, 10.2500 55.9200);true;schematic corridor — not an official alignment. Kalundborg (Røsnæs) – Samsø – Hou/Odder, drawn to show the corridor under study. No alignment has been published.
aarhus-letbane-etape2;Aarhus Letbane etape 2 (Brabrand);letbane;study;2037;;;Aarhus Letbane / Aarhus Kommune;;https://www.aarhusletbane.dk/;;;manual:wkt:LINESTRING(10.2045 56.1499, 10.1780 56.1520, 10.1450 56.1540, 10.1180 56.1560);true;"schematic corridor — not an official alignment. Aarhus H along Silkeborgvej to Brabrand/Gellerup. Decision expected 2027–28, opening 2037 per Aarhus Letbane; not in Anlægsstatus 1H 2026 and no alignment in OpenStreetMap."
tredje-limfjordsforbindelse;Tredje Limfjordsforbindelse ved Aalborg;road;construction;2034;;8869.7;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""highway""=""construction""](56.98,9.75,57.14,10.00)";true;Largest road project in the report by budget.
marselis-tunnel;Ny tunnel under Marselis Boulevard, Aarhus;road;construction;2035;;4139.7;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 35;;"osm:way[""name""=""Marselis Boulevard""](56.13,10.17,56.16,10.23)";true;Geometry indicative: the existing boulevard the tunnel follows.
e45-vejle-skanderborg;Udbygning af E45, Vejle (Hornstrup) – Skanderborg S;road;construction;2027;;4416.4;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""ref""~""E ?45""][""highway""=""motorway""](55.78,9.55,56.02,9.92)";true;"Geometry indicative: the E45 carriageways in the section being widened (OSM tags the route ref as ""E 45"")."
e45-aarhus-s-n;Udbygning af E45, Aarhus S – Aarhus N;road;construction;2027;;2655.4;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""ref""~""E ?45""][""highway""=""motorway""](56.06,10.02,56.24,10.24)";true;"Geometry indicative: the E45 carriageways in the section being widened (OSM tags the route ref as ""E 45"")."
amagermotorvejen;Udvidelse af Amagermotorvejen;road;construction;2029;;1964.2;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;fingerplan:fp19vp_motorvejanlaeg_udv:kode=25;true;"Geometry is the Fingerplan ""ongoing investigation of motorway widening"" on Amager (identified by location)."
signalprogrammet;Signalprogrammet (new signalling, whole network);rail;construction;2033;2022;24584.8;Banedanmark;;https://www.bane.dk/signalprogrammet;Anlægsstatus 1H 2026 p. 9, 10;;manual:wkt:LINESTRING(12.5650 55.6730, 11.7900 55.4400, 10.3900 55.3950, 9.7500 55.5600, 10.2045 56.1499, 9.9200 57.0400);false;"schematic corridor — not an official alignment. Nationwide programme with no single alignment; the line sketches the main line København – Odense – Fredericia – Aarhus – Aalborg only so the project is visible on a map. Largest project in the report by budget; report gives ""2022/2033""."
kalundborgmotorvejen-3;Kalundborgmotorvejens 3. etape;road;construction;2028;;3466.1;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""highway""=""construction""](55.60,11.20,55.75,11.60)";true;Report: total expenditure not expected to hold.
